Ingredient,Function,Risk Level,Description
Aloe Vera,Soothing Agent,Low,Soothes and hydrates skin.
Shea Butter,Moisturizer,Low,Nourishes and softens.
Coconut Oil Extract,Moisturizer,Medium,Moisturizes but may clog pores.
Zinc Oxide,UV Filter,Low,Provides sun protection.
Alcohol Denat Acid,Solvent,High,Can be drying or irritating.
Lanolin,Emollient,Medium,Softens and smooths skin.
Green Tea Extract,Antioxidant,Low,Soothes and protects skin.
Sodium Lauryl Sulfate Acid,Surfactant,High,Cleanses but can be harsh.
Retinol,Anti-aging,Medium,Boosts collagen but can cause irritation if overused.
Alpha Arbutin Acid,Skin Brightening,Low,Reduces hyperpigmentation.
Vitamin C,Brightening,Medium,Evens skin tone and boosts radiance.
Sodium Lauryl Sulfate Oil,Surfactant,High,Cleanses but can be harsh.
Lanolin Acid,Emollient,Medium,Softens and smooths skin.
Aloe Vera Acid,Soothing Agent,Low,Soothes and hydrates skin.
Titanium Dioxide,UV Filter,Low,Physical sunscreen.
Niacinamide Oil,Anti-inflammatory,Low,Reduces redness and improves skin elasticity.
Fragrance,Scent,High,Common allergen in skincare.
Phenoxyethanol Powder,Preservative,Medium,Used to prevent bacterial growth.
Niacinamide,Anti-inflammatory,Low,Reduces redness and improves skin elasticity.
Niacinamide Extract,Anti-inflammatory,Low,Reduces redness and improves skin elasticity.
Zinc Oxide Powder,UV Filter,Low,Provides sun protection.
Parabens Extract,Preservative,High,Potential endocrine disruptor.
Hyaluronic Acid Oil,Hydrator,Low,Holds water to hydrate the skin.
Salicylic Acid Powder,Exfoliant,High,Clears clogged pores and treats acne.
Retinol Oil,Anti-aging,Medium,Boosts collagen but can cause irritation if overused.
Sodium Lauryl Sulfate Powder,Surfactant,High,Cleanses but can be harsh.
Phenoxyethanol Acid,Preservative,Medium,Used to prevent bacterial growth.
Titanium Dioxide Powder,UV Filter,Low,Physical sunscreen.
Benzoyl Peroxide Acid,Acne Treatment,High,Kills acne-causing bacteria.
Niacinamide Powder,Anti-inflammatory,Low,Reduces redness and improves skin elasticity.
Lanolin Extract,Emollient,Medium,Softens and smooths skin.
Vitamin C Oil,Brightening,Medium,Evens skin tone and boosts radiance.
Alpha Arbutin,Skin Brightening,Low,Reduces hyperpigmentation.
Green Tea Extract Extract,Antioxidant,Low,Soothes and protects skin.
Parabens,Preservative,High,Potential endocrine disruptor.
Alcohol Denat Extract,Solvent,High,Can be drying or irritating.
Glycerin,Humectant,Low,Draws moisture into the skin to keep it hydrated.
Hyaluronic Acid Acid,Hydrator,Low,Holds water to hydrate the skin.
Fragrance Powder,Scent,High,Common allergen in skincare.
Alcohol Denat Acid,Solvent,High,Can be drying or irritating.
Coconut Oil Acid,Moisturizer,Medium,Moisturizes but may clog pores.
Hyaluronic Acid,Hydrator,Low,Holds water to hydrate the skin.
Sodium Lauryl Sulfate,Surfactant,High,Cleanses but can be harsh.
Salicylic Acid,Exfoliant,High,Clears clogged pores and treats acne.
Shea Butter Oil,Moisturizer,Low,Nourishes and softens.
Phenoxyethanol Extract,Preservative,Medium,Used to prevent bacterial growth.
Benzoyl Peroxide Oil,Acne Treatment,High,Kills acne-causing bacteria.
Alcohol Denat,Solvent,High,Can be drying or irritating.
Fragrance Oil,Scent,High,Common allergen in skincare.
Glycerin Powder,Humectant,Low,Draws moisture into the skin to keep it hydrated.
Vitamin C Acid,Brightening,Medium,Evens skin tone and boosts radiance.
Retinol Acid,Anti-aging,Medium,Boosts collagen but can cause irritation if overused.
Parabens Oil,Preservative,High,Potential endocrine disruptor.
Coconut Oil,Moisturizer,Medium,Moisturizes but may clog pores.
Shea Butter Acid,Moisturizer,Low,Nourishes and softens.
Phenoxyethanol,Preservative,Medium,Used to prevent bacterial growth.
Parabens Powder,Preservative,High,Potential endocrine disruptor.
Sodium Lauryl Sulfate Extract,Surfactant,High,Cleanses but can be harsh.
